Date,Open,High,Low,Close,Adj Close,Volume
2024-04-05,3545.000000,3595.000000,3507.850098,3586.050049,3586.050049,1123258
2024-04-08,3600.000000,3600.000000,3543.050049,3567.149902,3567.149902,865339
2024-04-09,3568.000000,3589.000000,3527.000000,3546.550049,3546.550049,649755
2024-04-10,3550.000000,3623.600098,3548.649902,3565.399902,3565.399902,1160813
2024-04-12,3565.000000,3677.550049,3550.000000,3638.100098,3638.100098,3042596
2024-04-15,3640.000000,3700.000000,3564.050049,3629.250000,3629.250000,3848159
2024-04-16,3626.000000,3738.949951,3585.350098,3722.149902,3722.149902,2939862
2024-04-18,3744.000000,3768.000000,3652.699951,3677.149902,3677.149902,2294396
2024-04-19,3660.000000,3761.149902,3621.000000,3751.300049,3751.300049,2256325
2024-04-22,3800.000000,3810.000000,3732.600098,3785.500000,3785.500000,1337755
2024-04-23,3800.000000,3831.850098,3783.050049,3795.699951,3795.699951,1321429
2024-04-24,3826.100098,4000.000000,3812.500000,3946.699951,3946.699951,4429158
2024-04-25,3958.600098,4035.000000,3939.000000,4000.750000,4000.750000,2632613
2024-04-26,4019.949951,4039.949951,3966.350098,3984.399902,3984.399902,1432727
2024-04-29,4006.350098,4044.750000,3975.300049,4017.699951,4017.699951,1202126
2024-04-30,4035.350098,4035.850098,3930.000000,3939.350098,3939.350098,2054258
2024-05-02,3942.000000,3973.100098,3931.399902,3947.199951,3947.199951,1008325
2024-05-03,3952.250000,3967.000000,3880.000000,3920.199951,3920.199951,1180369
2024-05-06,3936.000000,3938.399902,3785.050049,3816.399902,3816.399902,1613143
2024-05-07,3815.449951,3839.000000,3693.399902,3715.000000,3715.000000,1975562
2024-05-08,3703.000000,3883.199951,3671.000000,3856.500000,3856.500000,1993745
2024-05-09,3895.800049,3954.000000,3820.449951,3846.649902,3846.649902,2335375
2024-05-10,3860.000000,3907.699951,3820.649902,3872.899902,3872.899902,1462534
2024-05-13,3875.500000,3937.000000,3762.600098,3921.750000,3921.750000,1619124
2024-05-14,3979.649902,4086.250000,3976.000000,4074.699951,4074.699951,2964966
2024-05-15,4105.799805,4193.600098,4051.000000,4182.350098,4182.350098,2310941
2024-05-16,4215.000000,4656.399902,4157.000000,4603.700195,4603.700195,10028325
2024-05-17,4644.950195,4665.950195,4485.049805,4520.850098,4520.850098,4108505
